,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
347,Harper,LR,4.375,-7.7169,81.28,73,99,7.2,overcast clouds
348,Kigali,RW,-1.95,30.0588,67.48,77,75,2.3,broken clouds
349,Zolotukhino,RU,52.0842,36.3772,23.63,72,100,12.5,overcast clouds
350,Rawson,AR,-43.3002,-65.1023,80.62,20,0,20.96,clear sky
351,Palana,RU,59.1167,159.9667,11.41,78,46,11.39,scattered clouds
352,Namtsy,RU,62.7161,129.6658,-26.43,97,100,0.85,overcast clouds
353,Kavieng,PG,-2.5744,150.7967,81.57,74,88,4.34,overcast clouds
354,Santiago Del Estero,AR,-27.7951,-64.2615,71.98,69,100,13.58,overcast clouds
355,Mandera,KE,3.9366,41.867,90.77,26,82,11.79,broken clouds
356,Omsukchan,RU,62.5333,155.8,-15.81,100,88,3.83,overcast clouds
357,Saint-Augustin,CA,51.226,-58.6502,39.42,99,100,27.87,moderate rain
358,Finspang,SE,58.7058,15.7674,37.51,95,100,4.14,overcast clouds
359,Ullapool,GB,57.8987,-5.1604,52.36,91,100,6.17,overcast clouds
360,Mpulungu,ZM,-8.7623,31.1141,71.35,84,100,0.31,overcast clouds
361,Srednekolymsk,RU,67.45,153.6833,-16.11,96,100,17.67,overcast clouds
362,Anlu,CN,31.1661,112.5831,35.8,42,97,4.74,overcast clouds
363,Maniitsoq,GL,65.4167,-52.9,12.24,73,88,13.51,overcast clouds
364,Lupiro,TZ,-8.3833,36.6667,73,88,75,1.83,moderate rain
365,Panaba,MX,21.2833,-88.2667,88.07,49,13,13.51,few clouds
366,Dickinson,US,29.4608,-95.0513,58.15,72,0,9.22,clear sky
367,Turukhansk,RU,65.8167,87.9833,-1.46,99,100,7.4,overcast clouds
368,Puerto Leguizamo,CO,-0.1934,-74.7819,91.67,45,29,7.36,scattered clouds
369,Adolfo Lopez Mateos,MX,28.4667,-107.3,58.93,24,2,9.53,clear sky
370,San Antonio,US,29.4241,-98.4936,51.58,56,100,10.36,overcast clouds
371,Port Blair,IN,11.6667,92.75,82.44,83,40,2.3,mist
372,Shubarkuduk,KZ,49.1447,56.4872,19.71,48,2,5.53,clear sky
373,Victoria,HK,22.2855,114.1577,62.26,78,91,11.99,overcast clouds
374,Lakatoro,VU,-16.0999,167.4164,80.56,84,91,9.22,overcast clouds
375,Ostersund,SE,63.1792,14.6357,28.85,100,100,15.01,overcast clouds
376,Gamboma,CG,-1.8764,15.8644,77.41,74,78,3.44,broken clouds
377,Baicheng,CN,45.6167,122.8167,3.36,64,3,12.35,clear sky
378,Bonthe,SL,7.5264,-12.505,84.58,66,82,8.84,light rain
379,Okhotsk,RU,59.3833,143.3,-4.05,99,100,8.03,overcast clouds
380,Cap Malheureux,MU,-19.9842,57.6142,76.46,68,50,1.99,scattered clouds
381,Sladkovo,RU,55.5284,70.3385,-7.85,89,55,6.2,broken clouds
382,Desnogorsk,RU,54.1508,33.2815,21.22,84,99,8.63,overcast clouds
383,Khandbari,NP,27.3747,87.2039,56.07,74,1,2.77,clear sky
384,Severnyy,RU,50.677,36.5532,26.64,59,0,15.66,clear sky
385,Kostomuksha,RU,64.571,30.5767,24.17,95,100,2.62,light snow
386,Nabire,ID,-3.3667,135.4833,75.69,89,100,0.74,overcast clouds
387,San Quintin,MX,30.4833,-115.95,58.21,65,89,7.4,overcast clouds
388,Millinocket,US,45.6573,-68.7098,35.71,55,100,18.41,overcast clouds
389,Knysna,ZA,-34.0363,23.0471,68.54,79,80,2.57,broken clouds
390,Kalmunai,LK,7.4167,81.8167,77.65,85,23,3.8,few clouds
391,Cassilandia,BR,-19.1133,-51.7342,87.28,41,100,3.22,overcast clouds
392,Muravlenko,RU,63.7898,74.523,-9.94,89,38,8.37,scattered clouds
393,Hammerfest,NO,70.6634,23.6821,36.05,100,75,4.61,drizzle
394,Ambilobe,MG,-13.2,49.05,78.06,79,88,2.13,light rain
395,Karasburg,NA,-28.0167,18.75,81.18,33,85,12.75,light rain
396,Hobyo,SO,5.3505,48.5268,80.74,75,99,15.57,light rain
397,Zaraza,VE,9.3503,-65.3245,87.21,45,12,7.02,few clouds
398,Kantang,TH,7.4054,99.5156,76.21,88,100,4.05,overcast clouds
399,Ouegoa,NC,-20.35,164.4333,80.6,83,98,5.53,overcast clouds
400,Waingapu,ID,-9.6567,120.2641,78.85,83,93,1.1,overcast clouds
401,Lapa,BR,-25.7697,-49.7158,73.56,80,91,5.7,light rain
402,Esperance,AU,-33.8667,121.9,62.91,90,34,16.13,scattered clouds
403,Mitu,CO,1.1983,-70.1733,89.56,47,32,6.33,scattered clouds
404,Touros,BR,-5.1989,-35.4608,84.33,58,57,14.12,broken clouds
405,Wattegama,LK,6.7989,81.4808,73.69,94,54,3.22,broken clouds
406,Horsham,GB,51.064,-0.3272,45.01,90,75,4.61,fog
407,Kruisfontein,ZA,-34.0033,24.7314,67.78,66,31,4.45,scattered clouds
408,Grindavik,IS,63.8424,-22.4338,42.75,81,75,27.63,broken clouds
409,Iberia,US,29.9502,-91.7507,56.03,38,0,12.66,clear sky
410,Urusha,RU,54.05,122.9,-28.28,97,99,2.51,overcast clouds
411,Mount Isa,AU,-20.7333,139.5,74.97,29,0,4.61,clear sky
412,Pandan,PH,14.0453,124.1694,80.83,83,96,15.77,overcast clouds
413,Lavrentiya,RU,65.5833,-171,25.97,92,100,10,overcast clouds
414,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,100,75,25.37,light rain
415,Nigde,TR,37.8333,34.75,42.64,85,16,5.66,few clouds
416,Fatehpur,IN,25.9333,80.8,62.78,34,0,3.09,clear sky
417,Kudahuvadhoo,MV,2.6708,72.8944,80.26,73,74,3.36,heavy intensity rain
418,Nuuk,GL,64.1835,-51.7216,18.21,67,75,21.85,broken clouds
419,Angoram,PG,-4.0625,144.0661,74.52,98,100,1.79,overcast clouds
420,Tuatapere,NZ,-46.1333,167.6833,43.02,84,81,8.3,broken clouds
421,Yatou,CN,37.15,122.3833,28.42,69,100,8.16,overcast clouds
422,Sulangan,PH,11.1373,123.7228,81.59,81,100,13.49,overcast clouds
423,Salekhard,RU,66.53,66.6019,-6.29,96,10,8.23,clear sky
424,Catabola,AO,-12.15,17.2833,67.78,77,87,0.96,light rain
425,Thinadhoo,MV,0.5333,72.9333,81.19,67,91,4.94,overcast clouds
426,The Valley,AI,18.217,-63.0578,85.86,65,40,14.97,scattered clouds
427,Puerto Escondido,MX,15.85,-97.0667,83.23,69,20,8.05,few clouds
428,Lieksa,FI,63.3167,30.0167,26.31,97,100,1.36,overcast clouds
429,Sola,VU,-13.8833,167.55,81.57,77,74,10.74,broken clouds
430,Tual,ID,-5.6667,132.75,80.74,72,100,6.35,overcast clouds
431,Honningsvag,NO,70.9821,25.9704,37.15,93,100,10.36,overcast clouds
432,Dzhebariki-Khaya,RU,62.2167,135.8,-28.8,99,100,0.72,overcast clouds
433,Challapata,BO,-18.9,-66.7667,55.33,12,0,9.62,clear sky
434,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,71,35,7.9,scattered clouds
435,Artyom,AZ,40.4723,50.333,44.74,56,100,9.31,overcast clouds
436,Langreo,ES,43.2957,-5.6842,53.46,76,3,2.64,clear sky
437,Trumbull,US,41.3167,-80.7665,31.64,68,100,11.99,overcast clouds
438,Ambulu,ID,-8.345,113.6058,74.64,83,99,0.65,overcast clouds
439,Raymondville,US,26.4815,-97.7831,59.23,76,96,7.74,overcast clouds
440,Nouadhibou,MR,20.931,-17.0347,71.58,64,81,14.97,broken clouds
441,Caranavi,BO,-15.8167,-67.55,81.55,52,21,6.02,few clouds
442,Port-Gentil,GA,-0.7193,8.7815,82.36,83,75,11.5,broken clouds
443,Impfondo,CG,1.6381,18.0667,74.1,88,79,2.82,light rain
444,Mali,GN,12.079,-12.2982,77.65,26,81,4.43,broken clouds
445,Itajuba,BR,-22.4256,-45.4528,83.75,61,35,3,scattered clouds
446,Daru,PG,-9.0763,143.2092,76.84,91,100,11.45,overcast clouds
447,Mayumba,GA,-3.432,10.6554,79.65,85,100,6.04,light rain
448,Emerald,AU,-23.5333,148.1667,59.34,79,0,8.05,clear sky
449,Vaitape,PF,-16.5167,-151.75,79.52,79,77,14.76,light rain
450,Mbabane,SZ,-26.3167,31.1333,61.41,60,1,4.29,clear sky
451,Beloha,MG,-25.1667,45.05,73.09,85,98,10.96,overcast clouds
452,Coracora,PE,-15.0333,-73.7833,61.16,27,0,12.35,clear sky
453,Alpena,US,45.0617,-83.4327,33.19,67,100,9.22,overcast clouds
454,Mullovka,RU,54.2,49.4,6.62,94,47,4.54,scattered clouds
455,Sijunjung,ID,-0.6876,100.9537,72.32,98,100,0.81,overcast clouds
456,Kirkuk,IQ,35.4681,44.3922,61.45,71,1,2.24,clear sky
457,Valparaiso,CL,-33.0393,-71.6273,66.43,72,20,14.97,few clouds
458,Wau,SS,7.7029,27.9953,87.01,25,73,4.07,broken clouds
459,Broome,US,42.2506,-75.833,37.38,59,100,17.27,overcast clouds
460,Magway,MM,20.15,94.9167,74.37,77,12,3.33,few clouds
461,Mange,SL,8.9167,-12.85,82.45,70,92,6.46,light rain
462,Aquitania,CO,5.5197,-72.8875,59.67,63,30,1.16,scattered clouds
463,Husavik,IS,66.0449,-17.3389,37.08,70,1,18.92,clear sky
464,Nanma,CN,36.1817,118.1583,24.57,25,99,3,overcast clouds
465,Winnemucca,US,40.973,-117.7357,44.65,36,75,16.11,broken clouds
466,Karlstad,SE,59.3793,13.5036,35.62,95,100,8.12,overcast clouds
467,Lenger,KZ,42.183,69.8839,22.44,79,99,2.06,overcast clouds
468,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,92.82,47,77,5.21,broken clouds
469,Dharchula,IN,29.85,80.5333,54.37,30,8,7.09,clear sky
470,Ketchikan,US,55.3422,-131.6461,19.87,68,75,0,broken clouds
471,Saint-Ambroise,CA,48.5501,-71.3324,30.58,74,99,13.71,light snow
472,Provideniya,RU,64.3833,-173.3,30.45,99,93,6.93,snow
473,Ulladulla,AU,-35.35,150.4667,59.63,86,100,4.23,overcast clouds
474,Biasca,CH,46.3597,8.9697,44.65,76,80,3.65,broken clouds
475,Muros,ES,42.7762,-9.0603,54.09,77,0,3.51,clear sky
476,Kurayoshi,JP,35.4333,133.8167,41.36,87,100,7.31,overcast clouds
477,Kikwit,CD,-5.041,18.8162,73.02,92,98,2.24,overcast clouds
478,Kargil,IN,34.5667,76.1,27.09,37,100,2.55,overcast clouds
479,Hermagor,AT,46.6272,13.3672,40.33,96,91,3.98,overcast clouds
480,Udachnyy,RU,66.4167,112.4,-17.55,75,99,11.56,overcast clouds
481,Baiyin,CN,36.5583,104.2081,21.06,32,3,0.63,clear sky
482,Geraldton,AU,-28.7667,114.6,64.81,77,75,6.91,broken clouds
483,Cabo San Lucas,MX,22.8909,-109.9124,82.06,75,20,11.5,few clouds
484,Alofi,NU,-19.0595,-169.9187,69.69,100,68,2.3,broken clouds
485,Marmarion,GR,38.0484,24.3204,62.04,80,43,11.92,scattered clouds
486,Timizart,DZ,36.8,4.2667,53.85,63,97,6.71,overcast clouds
487,Ormara,PK,25.2088,64.6357,76.6,52,46,7.87,scattered clouds
488,Dalbandin,PK,28.8947,64.4101,59.95,29,84,5.23,broken clouds
489,Malakal,SS,9.5334,31.6605,86.29,26,49,6.08,scattered clouds
490,Atambua,ID,-9.1061,124.8925,73.78,88,94,2.55,overcast clouds
491,Hukuntsi,BW,-24,21.75,89.28,17,14,6.31,few clouds
492,Puerto Ayacucho,VE,5.6639,-67.6236,87.49,55,13,10.74,few clouds
493,Svetlyy,RU,54.675,20.1347,32.05,92,87,7.38,overcast clouds
494,Moba,CN,33.2288,105.0179,21.49,62,0,5.39,clear sky
495,Laguna,US,38.421,-121.4238,50.76,89,100,21.85,light rain
496,Kishtwar,IN,33.3167,75.7667,49.19,40,100,4.65,overcast clouds
497,Beringovskiy,RU,63.05,179.3167,35.1,99,100,15.1,overcast clouds
498,Talavera,PH,15.6167,120.9333,73.76,81,94,4.76,overcast clouds
499,Yago,MX,21.8333,-105.0667,86.18,38,6,1.48,clear sky
500,Rosetta,EG,31.4044,30.4164,66.96,68,0,7.76,clear sky
501,Kirakira,SB,-10.4544,161.9205,79.77,81,98,3.06,moderate rain
502,Forestville,US,38.8451,-76.875,43.9,43,0,11.5,clear sky
503,Aykhal,RU,66,111.5,-23.76,100,100,9.22,overcast clouds
504,Ayan,RU,56.45,138.1667,-2.06,69,86,15.12,overcast clouds
505,Kommunar,RU,59.6206,30.39,18.45,89,100,3.49,overcast clouds
506,Prince Rupert,CA,54.3161,-130.3201,24.49,61,40,14.97,scattered clouds
507,Tynda,RU,55.1667,124.7167,-35.82,98,85,2.98,overcast clouds
508,Port-Cartier,CA,50.0334,-66.8654,34.02,76,44,16.22,scattered clouds
509,Karabulak,RU,43.3036,44.8964,34.79,82,97,8.1,overcast clouds
510,Scarborough,GB,54.2797,-0.4044,41.32,91,65,1.99,broken clouds
511,Anadyr,RU,64.75,177.4833,37.9,86,75,26.84,broken clouds
512,Kibre Mengist,ET,5.8833,38.9833,57.49,58,68,1.34,broken clouds
513,Shingu,JP,33.7333,135.9833,42.12,79,42,6.64,scattered clouds
514,Gabi,PH,7.6215,126.092,73.35,97,100,1.92,overcast clouds
515,Jacareacanga,BR,-6.2222,-57.7528,90.05,55,100,0.11,overcast clouds
516,Carballo,ES,43.213,-8.691,55.09,76,0,4.38,clear sky
517,Pitimbu,BR,-7.4706,-34.8086,86.59,62,39,13.42,scattered clouds
518,Rusne,LT,55.2964,21.3758,25.92,86,97,8.48,overcast clouds
519,Dali,CN,25.7,100.1833,50.4,91,0,4.18,clear sky
520,Cockburn Town,TC,21.4612,-71.1419,84.16,54,40,13.8,scattered clouds
521,Atar,MR,20.5169,-13.0499,86.72,10,11,9.06,few clouds
522,Codajas,BR,-3.8367,-62.0569,92.14,51,36,4.07,scattered clouds
523,Taman,RU,45.2117,36.7161,45.68,68,100,23.8,overcast clouds
524,Lang Son,VN,21.8333,106.7333,45.05,91,100,7.87,overcast clouds
525,Lockport,US,41.5895,-88.0578,31.19,65,0,7,clear sky
526,Shelburne,CA,44.0787,-80.2041,32.45,83,85,19.37,overcast clouds
527,Dire Dawa,ET,9.5931,41.8661,67.89,27,47,5.48,scattered clouds
528,Beni Suef,EG,29.0731,31.0979,66.52,37,0,5.53,clear sky
529,Ugoofaaru,MV,5.6667,73,81.3,73,33,4.03,scattered clouds
530,Mananara,MG,-16.1667,49.7667,74.89,90,14,4.63,light rain
531,Port Macquarie,AU,-31.4333,152.9167,58.89,83,100,12.08,overcast clouds
532,Bilibino,RU,68.0546,166.4372,4.89,97,86,4.23,overcast clouds
533,Mesyagutovo,RU,55.5303,58.2528,10.11,91,100,6.71,overcast clouds
534,Rosarito,MX,32.3333,-117.0333,58.15,65,92,3.38,overcast clouds
535,Kedrovka,RU,55.5333,86.05,4.08,98,81,2.98,broken clouds
536,Kemin,KG,42.7846,75.6892,22.84,80,91,4.05,overcast clouds
537,Ponnani,IN,10.767,75.9252,79.92,83,13,4.36,few clouds
538,Camiri,BO,-20.05,-63.5167,80.38,47,75,4.61,broken clouds
539,Auki,SB,-8.7676,160.7034,77.41,87,100,3.85,overcast clouds
540,Westport,US,41.1415,-73.3579,42.89,49,100,14,overcast clouds
541,Greeneville,US,36.1632,-82.831,43.43,36,0,6.91,clear sky
542,Quesnel,CA,52.9999,-122.5029,-16.1,76,100,0,overcast clouds
543,Adrar,MR,20.5022,-10.0711,81.97,11,6,4.7,clear sky
544,Mackay,AU,-21.15,149.2,68.2,81,95,13.11,overcast clouds
545,Cooma,AU,-36.2333,149.1333,48.06,96,81,3.18,broken clouds
546,Maracaju,BR,-21.6144,-55.1683,96.76,23,100,7.18,overcast clouds
547,Banatsko Novo Selo,RS,44.9907,20.7848,40.73,74,100,8.59,overcast clouds
548,Kuminskiy,RU,58.6667,66.5667,-8.34,97,77,2.04,broken clouds
549,Takoradi,GH,4.8845,-1.7554,82.29,73,92,8.68,light rain
550,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,92.1,37,49,13.06,scattered clouds
551,Paita,PE,-5.0892,-81.1144,74.59,67,30,11.79,scattered clouds
552,Mao,ES,39.8885,4.2658,52.36,82,20,5.75,few clouds
553,Abu Kamal,SY,34.4506,40.9171,60.42,69,16,6.38,few clouds
554,Luderitz,NA,-26.6481,15.1594,67.48,72,16,23.29,few clouds
555,Cabedelo,BR,-6.9811,-34.8339,86.67,62,63,14.5,broken clouds
556,Muli,MV,2.9167,73.5667,80.8,72,40,1.68,scattered clouds
557,Port Hedland,AU,-20.3167,118.5667,78.85,83,2,6.91,clear sky
558,Santa Maria,BR,-29.6842,-53.8069,92.5,40,75,6.91,broken clouds
559,Asaba,NG,6.2006,6.7338,89.64,40,70,0.74,broken clouds
560,Tynset,NO,62.2759,10.7824,26.22,94,99,3.78,overcast clouds
561,San Andres,CO,12.5847,-81.7006,86.02,70,20,14.97,few clouds
562,Sorland,NO,67.667,12.6934,40.86,73,43,5.7,scattered clouds
563,Pasighat,IN,28.0667,95.3333,63.9,54,0,3.38,clear sky
564,Lynn Haven,US,30.2455,-85.6483,60.96,40,0,11.5,clear sky
565,Bowen,AU,-20.0167,148.2333,70.9,76,88,10.63,overcast clouds
566,Oktyabrskoye,RU,43.0645,44.7417,32.14,100,100,4.47,light rain
567,Coquimbo,CL,-29.9533,-71.3436,67.73,68,75,12.66,broken clouds
568,Tazovskiy,RU,67.4667,78.7,-5.66,98,92,8.7,overcast clouds
569,Liwale,TZ,-9.7667,37.9333,70.21,85,66,3.31,light rain
570,Sergeyevka,KZ,53.88,67.4158,3.29,83,100,10.2,overcast clouds
571,Lircay,PE,-12.9896,-74.7205,66.92,15,2,4.72,clear sky
572,Goryachegorsk,RU,55.4053,88.9154,-1.88,100,99,1.63,overcast clouds
573,Molokovo,RU,58.1661,36.7628,6.1,90,41,4.29,scattered clouds
574,Uribia,CO,11.7139,-72.266,85.73,54,23,11.25,few clouds
575,Goroka,PG,-6.0834,145.3873,59.14,97,97,0.81,overcast clouds
576,Port Augusta,AU,-32.5,137.7667,65.61,39,5,6.49,clear sky
577,Belyy Yar,RU,53.6039,91.3903,-5.91,77,100,0,smoke
578,Weihe,CN,32.9952,105.3247,26.19,56,1,2.57,clear sky
579,Namibe,AO,-15.1961,12.1522,70.95,78,80,9.44,broken clouds
580,Botshabelo,ZA,-29.2702,26.7052,74.57,35,92,5.5,light rain
581,Saint Pete Beach,US,27.7253,-82.7412,76.24,59,0,14.97,clear sky
582,Ibra,OM,22.6906,58.5334,69.33,33,41,2.73,scattered clouds
583,Rawatbhata,IN,24.9333,75.5833,63.52,40,0,3.56,clear sky
584,Yantai,CN,37.5333,121.4,32.2,55,99,9.42,overcast clouds
585,Kochi,IN,9.9399,76.2602,80.02,81,22,2.71,few clouds
586,Longhua,CN,23.6137,114.1919,46.54,82,100,5.68,overcast clouds
587,Halifax,CA,44.6453,-63.5724,43.45,67,75,25.32,broken clouds
588,Sampit,ID,-2.5333,112.95,74.05,97,99,1.74,overcast clouds
589,Margate,GB,51.3813,1.3862,46.9,90,67,12.35,broken clouds
590,Labuhan,ID,-6.8844,112.2051,78.19,78,99,5.19,overcast clouds
591,Khuzdar,PK,27.7384,66.6434,59.25,21,52,3.31,broken clouds
592,Haines Junction,CA,60.7522,-137.5108,-2.25,78,100,3.44,overcast clouds
593,Vitim,RU,59.4511,112.5578,-14.6,98,100,4.59,overcast clouds
594,Nakhon Phanom,TH,17.3333,104.4167,71.01,70,92,8.99,overcast clouds
595,Linhai,CN,28.85,121.1167,37.92,86,100,10,overcast clouds
596,Tiksi,RU,71.6872,128.8694,-11.15,96,100,12.53,overcast clouds
597,Sayan,PE,-11.1361,-77.1933,78.82,51,15,11.25,few clouds
598,Mazagao,BR,-0.115,-51.2894,89.65,56,64,5.86,broken clouds
599,Taos,US,36.4072,-105.5731,48.25,45,0,1.99,clear sky
600,Igrim,RU,63.1906,64.4162,-8.97,99,9,3.33,clear sky
601,Rovaniemi,FI,66.5,25.7167,27.81,93,100,2.3,overcast clouds
602,Chifeng,CN,42.2683,118.9636,9.45,40,0,5.3,clear sky
603,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,33.87,51,99,12.66,overcast clouds
604,Methoni,GR,36.8197,21.7049,59.22,75,53,20.22,broken clouds
605,Gornopravdinsk,RU,60.05,69.9,-13.7,95,11,0.85,few clouds
606,Bahia Blanca,AR,-38.7196,-62.2724,75.29,41,0,1.99,clear sky
607,Taoudenni,ML,22.6783,-3.9836,76.24,8,90,5.37,overcast clouds
608,Ranfurly,NZ,-45.1333,170.1,41.11,98,95,8.93,overcast clouds
609,Nema,RU,57.5067,50.5011,4.51,99,91,3.67,overcast clouds
610,Yabelo,ET,4.8833,38.0833,63.36,41,97,13.11,overcast clouds
611,Mgandu,TZ,-5.95,34.1333,65.86,73,98,3.15,light rain
612,Ayagoz,KZ,47.9714,80.4392,17.69,95,100,8.86,overcast clouds
613,Kaeo,NZ,-35.1,173.7833,55.33,92,95,3.76,overcast clouds
614,Talnakh,RU,69.4865,88.3972,0.43,99,100,1.74,overcast clouds
615,Grand Gaube,MU,-20.0064,57.6608,76.37,69,33,1.01,scattered clouds
616,Viedma,AR,-40.8135,-62.9967,78.03,19,0,2.95,clear sky
617,Lewisporte,CA,49.2499,-55.0482,38.91,87,88,21,overcast clouds
618,San Carlos,VE,9.6612,-68.5827,87.98,45,11,5.93,few clouds
619,Samarinda,ID,-0.5,117.15,72.64,99,95,2.26,overcast clouds
620,Gijon,ES,43.5357,-5.6615,55.8,71,13,14,few clouds
621,Marawi,PH,7.9986,124.2928,69.49,91,96,1.19,overcast clouds
622,Gilgit,PK,35.9221,74.3087,44.22,40,100,0.67,overcast clouds
623,Chapais,CA,49.7834,-74.8492,22.78,88,100,19.35,light snow
624,Ati,TD,13.2154,18.3353,83.68,17,80,8.7,broken clouds
625,Ladushkin,RU,54.5703,20.171,31.86,93,81,6.82,broken clouds
626,Hanna,CA,51.6334,-111.9018,-8.14,82,100,5.99,overcast clouds
627,Hami,CN,42.8,93.45,15.85,18,70,2.82,broken clouds
628,Hirado,JP,33.3597,129.5531,46.29,55,100,10.18,overcast clouds
629,Bom Jesus Da Lapa,BR,-13.255,-43.4181,84.02,63,91,3.65,overcast clouds
630,Arlit,NE,18.7369,7.3853,77.2,14,98,7.27,overcast clouds
631,Quelimane,MZ,-17.8786,36.8883,78.75,65,20,5.75,few clouds
632,Mayo,US,38.8876,-76.5119,44.11,44,0,14.97,clear sky
633,Mehendiganj,BD,22.8167,90.5333,70.16,65,0,7.9,clear sky
634,Kenai,US,60.5544,-151.2583,3.29,92,0,3.44,clear sky
635,Strelka,RU,58.0728,93.0344,-19.46,100,89,1.23,overcast clouds
636,Mehamn,NO,71.0357,27.8492,31.95,100,75,9.22,broken clouds
637,Humberto De Campos,BR,-2.5983,-43.4611,84.47,68,80,9.86,broken clouds
638,Jiangyou,CN,31.7667,104.7167,38.23,85,14,1.7,few clouds
639,Chute-Aux-Outardes,CA,49.1168,-68.399,30.18,86,75,17.27,broken clouds
640,Usinsk,RU,65.9939,57.5281,-6.27,99,84,9.75,broken clouds
641,Fare,PF,-16.7,-151.0167,79.81,79,71,16.51,broken clouds
642,Chukhloma,RU,58.7525,42.6825,8.38,97,97,1.68,overcast clouds
643,Tommot,RU,58.9564,126.2925,-11.24,93,100,10.16,overcast clouds
644,Perigueux,FR,45.1833,0.7167,46.08,70,92,7.87,overcast clouds
645,Nellikkuppam,IN,11.7667,79.6833,77.27,88,33,8.48,scattered clouds
646,Urengoy,RU,65.9667,78.3667,-7.38,98,92,7.76,overcast clouds
647,Hay River,CA,60.8156,-115.7999,-14.82,76,20,5.75,few clouds
648,Suleja,NG,9.1758,7.1808,90.59,29,58,3.18,broken clouds
649,Curuca,BR,-0.7289,-47.8481,82.53,78,90,7.11,overcast clouds
650,Benxi,CN,41.2886,123.765,3.52,44,0,3.65,clear sky
651,Kalianget,ID,-7.05,113.9333,80.62,78,99,1.72,overcast clouds
652,Salinas,US,36.6777,-121.6555,58.23,67,100,24.16,overcast clouds
653,Potoci,BA,43.4086,17.8786,49.51,71,75,3.44,broken clouds
654,Stutterheim,ZA,-32.5708,27.424,67.62,89,48,7.29,moderate rain
655,Iztapa,GT,13.9333,-90.7075,86.05,70,0,11.5,clear sky
656,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,7.39,85,20,4.47,few clouds
657,Preeceville,CA,51.95,-102.6677,2.88,95,100,6.42,overcast clouds
658,Nenjiang,CN,49.1833,125.2167,-14.75,93,46,5.64,scattered clouds
659,Moron,AR,-34.6534,-58.6198,74.01,69,100,14.41,overcast clouds
660,Bantry,IE,51.6833,-9.45,50.79,85,100,8.52,overcast clouds
661,Manokwari,ID,-0.8667,134.0833,77.5,81,100,3.44,overcast clouds
662,Waddan,LY,29.1614,16.139,60.6,33,1,6.49,clear sky
663,Mityana,UG,0.4175,32.0228,63.25,94,91,1.92,overcast clouds
664,Tolaga Bay,NZ,-38.3667,178.3,55.71,80,65,4.32,broken clouds
665,Yumen,CN,40.2833,97.2,11.17,68,76,12.08,broken clouds
666,Monrovia,LR,6.3005,-10.7969,81.21,74,90,6.6,overcast clouds
667,Pochutla,MX,15.7432,-96.4661,89.82,46,48,5.68,scattered clouds
668,Nemuro,JP,43.3236,145.575,28.26,50,4,17.31,clear sky
669,Devils Lake,US,48.1128,-98.8651,13.95,83,0,10.36,clear sky
670,Ajdabiya,LY,30.7554,20.2263,60.75,53,0,1.97,clear sky
671,Indramayu,ID,-6.3264,108.32,79.93,77,93,1.07,light rain
672,Ocumare Del Tuy,VE,10.1165,-66.7761,83.1,47,8,7.05,clear sky
673,Rogers,US,36.3668,-95.5836,50.76,34,40,20.71,scattered clouds
674,Jiuquan,CN,39.7432,98.5174,14.54,80,100,2.08,overcast clouds
675,Walvis Bay,NA,-22.9575,14.5053,68.95,68,13,17.27,few clouds
676,Egvekinot,RU,66.3167,-179.1667,27.19,99,100,13.33,snow
677,Buchanan,LR,5.8808,-10.0467,80.89,76,86,6.82,overcast clouds
678,Ciudad Bolivar,VE,8.1222,-63.5497,89.64,39,4,8.72,clear sky
679,Moree,AU,-29.4667,149.85,59.11,65,0,6.17,clear sky
680,Port Moresby,PG,-9.4431,147.1797,74.62,94,20,5.75,few clouds
681,Ormond Beach,US,29.2858,-81.0559,75.29,76,0,15.99,clear sky
682,Massaguet,TD,12.4755,15.4365,82.31,17,100,6.15,overcast clouds
683,Panjab,AF,34.388,67.0233,31.77,48,19,0.18,few clouds
684,Raga,SS,8.4596,25.678,84.2,24,100,3.13,overcast clouds
685,Marabba,SD,12.35,32.1833,88.72,18,100,10.85,overcast clouds
686,Shuiji,CN,27.4214,118.345,41.47,97,100,2.28,overcast clouds
687,Gat,IL,31.61,34.7642,65.39,58,0,6.44,clear sky
688,Jackson,US,42.4165,-122.8345,39.58,85,75,4.61,broken clouds
689,Panambi,BR,-28.2925,-53.5017,90.07,31,18,10.4,few clouds
690,Kyra,RU,49.5776,111.9753,0.37,73,100,12.1,overcast clouds
691,Hervey Bay,AU,-25.2986,152.8535,64.38,84,100,18.45,overcast clouds
692,Izberbash,RU,42.5696,47.8645,44.65,75,95,14.88,overcast clouds
693,General Roca,AR,-39.0333,-67.5833,82.62,38,0,5.19,clear sky
694,Rocha,UY,-34.4833,-54.3333,84.11,57,88,9.08,overcast clouds
695,Ojinaga,MX,29.5667,-104.4167,63.57,54,0,3.44,clear sky
696,Petukhovo,RU,55.0692,67.9019,1.99,78,100,7.52,overcast clouds
697,Lamu,KE,-2.2717,40.902,80.82,85,98,8.7,overcast clouds
